agent_id,attempt,category,checkpoint,condition,event_error,event_error_category,eventual_retry_success,first_attempt,phase,probe_index,raw_model_response,round_id,router,run_id,seed,selected_interaction_candidate
agent_1,0,transport_provider_failure,10,shared,DeepSeek Direct empty content,empty_content,True,True,probe,32,,,confidence,shared-seed1-20260807T215816Z-0dec0ddc,1,False
agent_3,0,transport_provider_failure,20,shared,DeepSeek Direct empty content,empty_content,True,True,probe,11,,,confidence,shared-seed1-20260807T215816Z-0dec0ddc,1,False
agent_2,0,semantic_answer_domain_violation,20,shared,ResponseParseError: no valid answer/confidence JSON object found,parse_error,True,True,probe,16,"{""answer"": 7, ""confidence"": 0.0}",,confidence,shared-seed1-20260807T215816Z-0dec0ddc,1,False
agent_3,0,semantic_answer_domain_violation,0,private,ResponseParseError: no valid answer/confidence JSON object found,parse_error,True,True,probe,31,"{""answer"": 7, ""confidence"": 0.2}",,random,private-seed1-20260808T003654Z-4d8e06fc,1,False
agent_1,0,semantic_answer_domain_violation,10,private,ResponseParseError: no valid answer/confidence JSON object found,parse_error,True,True,probe,15,"{""answer"": 52, ""confidence"": 0.1}",,random,private-seed1-20260808T003654Z-4d8e06fc,1,False
agent_3,0,semantic_answer_domain_violation,0,private,ResponseParseError: no valid answer/confidence JSON object found,parse_error,True,True,probe,23,"{""answer"": 9, ""confidence"": 0.0}",,confidence,private-seed2-20260807T225104Z-be3237c7,2,False
agent_1,0,semantic_answer_domain_violation,,private,ResponseParseError: no valid answer/confidence JSON object found,parse_error,True,True,round,,"{""answer"": 7, ""confidence"": 0.0}",12,random,private-seed2-20260808T003839Z-8df9b9a7,2,False
agent_1,0,semantic_answer_domain_violation,20,private,ResponseParseError: no valid answer/confidence JSON object found,parse_error,True,True,probe,38,"{""answer"": 7, ""confidence"": 0.0}",,random,private-seed2-20260808T003839Z-8df9b9a7,2,False
agent_3,0,transport_provider_failure,0,private,DeepSeek Direct empty content,empty_content,True,True,probe,0,,,confidence,private-seed3-20260807T225257Z-05e28374,3,False
agent_0,0,semantic_answer_domain_violation,0,private,ResponseParseError: no valid answer/confidence JSON object found,parse_error,True,True,probe,19,"{""answer"": -1, ""confidence"": 0.0}",,confidence,private-seed3-20260807T225257Z-05e28374,3,False
